"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","CommunityDistrict","CensusTract2010","NTA","CityCouncilDistrict","CongressionalDistrict","StateSenatorialDistrict","LicenseIssuedDate","LicenseExpiredDate"
57231,"LOLA","F","10/1/2007 0:00","Lhasa Apso","Queens",11375,406,"76902","QN17",29,6,14,"3/7/2016","1/16/2017"
119474,"LIKA","F","12/1/2012 0:00","Irish Setter","Brooklyn",11220,310,"22","BK32",38,10,23,"12/13/2016","1/31/2018"
43408,"BRONCO","M","6/1/2006 0:00","American Pit Bull Terrier/Pit Bull","Queens",11385,405,"553","QN20",34,7,12,"12/15/2015","12/24/2016"
97590,"GIGI","M","11/1/2015 0:00","Yorkshire Terrier","Queens",11354,407,"865","QN22",20,6,16,"8/23/2016","8/23/2017"
60007,"UNKNOWN","F","1/1/2016 0:00","American Pit Bull Mix / Pit Bull Mix","Queens",11385,405,"587","QN20",30,6,15,"3/20/2016","3/20/2017"
67274,"NIKO","M","1/1/2006 0:00","Shih Tzu","Queens",11411,413,"610","QN33",27,5,14,"4/21/2016","5/28/2017"
29204,"PERCY","M","1/1/2010 0:00","Jack Russell Terrier","Brooklyn",11215,306,"165","BK37",39,9,21,"8/13/2015","8/19/2016"
104414,"NIKO ","M","3/1/2011 0:00","American Pit Bull Terrier/Pit Bull","Bronx",10457,204,"225","BX14",14,15,29,"9/23/2016","10/21/2017"
9648,"PERSEPHONE","F","12/1/2013 0:00","Beagle Crossbreed","Manhattan",10011,104,"93","MN13",3,10,27,"3/20/2015","3/20/2016"
103093,"TOBY","M","6/1/2014 0:00","Pomeranian","Manhattan",10019,104,"135","MN15",6,10,27,"9/18/2016","9/30/2017"
33569,"GIGI ","F","1/1/2006 0:00","Chihuahua","Queens",11357,407,"973","QN49",19,3,11,"9/20/2015","2/28/2016"
96403,"WAFFLES","M","3/1/2011 0:00","Unknown","Brooklyn",11211,301,"501","BK90",34,12,18,"8/17/2016","7/30/2017"
73282,"ARCHER","M","7/1/2012 0:00","Border Terrier","Manhattan",10025,107,"195","MN09",7,10,31,"5/15/2016","7/8/2017"
26484,"DORI","F","1/1/2008 0:00","Unknown","Staten Island",10309,503,"20801","SI32",51,11,24,"7/25/2015","8/25/2017"
113976,"BUTTERCUP","F","4/1/2010 0:00","Shih Tzu","Bronx",10472,209,"54","BX08",17,15,32,"11/11/2016","11/18/2017"
111440,"MAXIMUS","M","7/1/2014 0:00","Labrador Retriever Crossbreed","Queens",11101,402,"7","QN31",26,12,12,"10/28/2016","12/1/2017"
78226,"KING ","M","12/1/2014 0:00","Rottweiler Crossbreed","Bronx",10466,212,"394","BX44",12,16,36,"6/7/2016","6/7/2017"
72768,"CARAMEL ","M","1/1/2006 0:00","Yorkshire Terrier","Manhattan",10032,112,"251","MN36",10,13,31,"5/13/2016","4/28/2017"
93447,"COLT","M","7/1/2011 0:00","American Pit Bull Mix / Pit Bull Mix","Staten Island",10308,503,"14605","SI54",51,11,24,"8/7/2016","8/7/2017"
83976,"SENSI ","F","3/1/2008 0:00","Labrador Retriever","Queens",11103,401,"6502","QN70",22,12,12,"6/29/2016","7/29/2018"
118328,"RICHIE ","M","11/1/2013 0:00","Lhasa Apso","Brooklyn",11234,318,"692","BK58",46,8,19,"12/7/2016","12/30/2017"
22723,"POOH","M","1/1/2002 0:00","Unknown","Staten Island",10312,503,"14604","SI54",51,11,24,"6/25/2015","5/30/2016"
